
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Neu
object_railgun_description              Dieses extrem präzise Waffensystem verfügt über eine große Reichweite und verwendet massive Metallgeschosse. Die Railgun ist eine präzise Waffe, die die Panzerung einer Hülle durchdringen und Ausrüstung im Inneren des anvisierten Schiffs zerstören kann. Allerdings verbraucht die Waffe nach jedem Schuss sehr viel Energie, um neu zu laden.
object_reactor							Reaktor
object_reactor_description              Verbrennt energiereichen Treibstoff und erzeugt Energie. Muss über eine Rohrleitung mit Treibstoff versorgt werden. Stelle dann mithilfe von Kabeln eine Verbindung zu den Geräten her, die mit Energie versorgt werden sollen.
object_sciencestation                   Wissenschaftsstation
object_sciencestation_description       Ein Arbeitsplatz für einen Wissenschaftler zur Durchführung wertvoller Forschungsarbeiten.
object_supercomputer                    Supercomputer
object_supercomputer_description        Ein leistungsstarker Computer zum Berechnen von Zahlen und zum Simulieren wichtiger Forschungsergebnisse.
object_shuttle							Shuttle
object_spacesuit						Raumanzug
object_spacesuitpod						Raumanzugscontainer
object_spacesuitpod_description         Hier werden Raumanzüge gelagert, um ihren Sauerstofftank wieder aufzufüllen.
object_tank								Tank
object_water							Wasser
object_stairs							Leiter
object_stairs_description               Crew und Passagiere können die oberen Quartiere nur über eine Leiter erreichen.
object_hyperspacesensor                 Hyperraumsensor
object_hyperspacesensorlr               Hyperraumsensor LS
object_hyperspacesensorlr_description   Diese extrem empfindliche Variante des Standard-Hyperraumsensors verfügt über eine große Reichweite.
object_missioncargo                     Missionsfracht
object_repairstructure					Repariere strukturellen Schaden
object_repairstructure_description      Die Werft in der Region kann die schweren strukturellen Schäden an deinem Schiff reparieren. Es hat allerdings seinen Preis.
object_scrapmetal                       Metallschrott
object_metalingot						Metallbarren
object_preciousore						Edles Erz
object_preciousmetals					Edelmetalle
object_tiliumore                        Tiliumerz
object_refinedtilium                    Tiliumkristalle
object_metallicminerals                 Metallische Mineralien
object_copperminerals                   Kupfererz
object_copperingot                      Kupferbarren
object_ice                              Eis
object_metreongas                       Metreongas
object_refinedmetreon                   Veredeltes Metreon
object_explosives                       Sprengstoffe
object_hyperspaceisotopes               Hyperraum-Isotopen
object_stableisotopes                   Stabile Isotope
object_seeds                            Saatgut
object_seeds_description                Diese kleine Tüte enthält eine Gemüsesamenmischung, die du vielleicht in einem Hydroponik-Garten anbauen kannst.
object_smelter							Schmelzofen
object_smelter_description              Diese industrielle Verarbeitungsmaschine schmilzt Erze zu gebrauchsfertigen Metallbarren. Nach der Montage kannst du den Erztyp ändern, indem du darauf klickst.
object_sewagepipe                       Schmutzwasserrohr
object_sewagepipe_description           Dieses Rohr leitet das Schmutzwasser der darüber liegenden Quartiere ab. Du kannst das Schmutzwasser dann in einen Vorratstank leiten und (am Ende) wieder zu Wasser aufbereiten. Das Rohr MUSS DIREKT UNTERHALB DER QUARTIERE liegen, damit es seine Aufgabe erfüllen kann.
object_sewagemachine					Abwasserreinigungsmaschine
object_sewagemachine_description        Nimmt das Schmutzwasser der Quartiere auf, trennt die festen und flüssigen Abfälle und recycelt Teile davon. Endprodukte der Maschine sind verunreinigtes Wasser und Kompost.
object_waterpurifier					Wasseraufbereiter
object_waterpurifier_description        Das verunreinigte Wasser aus dem Schmutzwasserkreislauf oder auch Eis, wie es direkt der Natur entnommen wird, werden aufbereitet und zu Trinkwasser veredelt.
object_oxygenmaker						Sauerstoff-Elektrolyseur
object_oxygenmaker_description          Nutzt elektrische Energie, um durch Elektrolyse aus Wasser Sauerstoff zu gewinnen.
object_scrubber							CO2-Absorber
object_scrubber_description             Spaltet Kohlendioxid aus der Atmosphäre ab. Das gewonnene Gas muss direkt in einen Vorratstank geleitet werden, um zu verhindern, dass der Wäscher blockiert.
object_airreprocessor					Luftaufbereiter
object_airreprocessor_description       Wandelt Kohlendioxid in Sauerstoff für die Atemluft um.
object_icegrinder                       Eiswolf
object_icegrinder_description           Er zerkleinert riesige Eisklumpen zu kleinen Stücken und erwärmt diese dann, bis sie schmelzen. Das so gewonnene Wasser wird gefiltert, um schließlich als Trinkwasser Einsatz zu finden.
object_proximitymine                    Mine
object_gascollector                     Gaskollektor
object_gascollector_description         Dieser große Außenschacht saugt Gase aus dem Weltraum an. Einige der in Nebeln vorkommenden Gase können zur Herstellung nützlicher Ressourcen wie Treibstoff, FTL-Ladungen und Sprengstoff verwendet werden.
object_refinery                         Raffinerie
object_refinery_description             Diese automatische Industriemaschine raffiniert chemische Rohstoffe und Gase.
object_chemicallab                      Chemisches Labor
object_chemicallab_description          Dieses wissenschaftliche Gerät ist äußerst komplex. Es kann mehrere chemische Stoffe (Flüssigkeiten, Gase und Feststoffe) zu unterschiedlichen Endmaterialien kombinieren. Man wählt eines der „Rezepte“ aus, indem man auf das Labor klickt.
object_hyperspacecollector              Hyperraum-Schaufel
object_hyperspacecollector_description  Die Hyperraum-Schaufel ist am Bug des Raumschiffs angebracht und zeigt in Fahrtrichtung. Im Hyperraum wird in Vorwärtsrichtung ein starkes Magnetfeld projiziert. Dieses zieht große Mengen an interstellarer Materie an. Die auf diese Weise gesammelten Isotope werden zu FTL-Treibstoff veredelt.
object_munitionsfactory                 Werkbank für Munition
object_munitionsfactory_description     Mithilfe dieser Werkbank stellt ein erfahrenes Crewmitglied verschiedene Formen von Munition für Schiffswaffensysteme her. Mit Metall und Sprengstoff werden Geschosse, Railgun-Geschosse, Kanonengeschosse und anderes gefertigt.
object_hydroponics                      Hydroponik-Garten
object_hydroponics_description          Ein geschlossenes Gewächshaus, in dem du Pflanzen anbauen kannst, um deine Crew zu ernähren. Kompost, Wasser und Saatgut werden benötigt, um den Anbau in Gang zu bringen.
object_fabricator                       Fabrikator
object_assembler                        Montagetisch
object_robotarm                         Roboterarm
object_robotarmshort                    Kurtzer Roboterarm
object_robotarmsmart			        Intelligenter Roboterarm
object_track                            Schiene
object_ruinedequipment                  Zerstörte Ausrüstung
object_solarpanel                       Sonnenkollektor
object_solarpanel_description           Diese müssen außerhalb Ihres Schiffes installiert werden, mit Gerüsten zur Unterstützung. Jeder Kollektor erzeugt 10 MW.

object_framecomponent                   Rahmen
object_motorcomponent                   Motor
object_coilcomponent                    Energiespule
object_lenscomponent                    Linse
object_stargatestructure                Sternentor-Rahmen
object_stargateresin                    Sternentor-Harz
object_stargateactuator                 Sternentor-Aktuator
object_stargatereceiver                 Sternentor-Empfänger

object_sewage							Schmutzwasser
object_wastewater						Abwasser
object_compost							Kompost
object_carbondioxide					CO2

object_short_oxygen                     O2
object_short_ftlcharge                  FTL
object_short_bullets                    Munition
object_short_railgunshell               Geschosse
object_short_cannonshell                Geschosse
object_short_deuterium                  Dtrm

entity_unconscious						BEWUSSTLOS
entity_dead								TOT
entity_suffocating						ERSTICKT GERADE
entity_stunned							BETÄUBT
entity_suitrequired						ANZUG ERFORDERLICH
entity_dehydrated						DEHYDRIERT
entity_fainted                          OHNMÄCHTIG
        
entity_death_injury                     Tödliche Verletzung
entity_death_suffocation                Ersticken
entity_death_dehydration                Dehydrierung
entity_death_starvation                 Verhungern
entity_death_co2poisoning               Kohlendioxid
        
order_none								Keine
order_salvage						    Bergungsgut einsammeln
order_gather							Materialien sammeln
order_repairhull						Hülle reparieren
order_shiftwork							Schichtarbeit
order_suitson							Anzüge anziehen
order_exteriorwork                      Arbeiten im Außenbereich
order_weaponsactive                     Feuer frei
order_fleetlogistics                    Flottenlogistik
order_battlestations                    Kampfstationen
order_mining                            Bergbau

battle_title                            GEFECHTS-
stations_title                          STATIONEN

designation_civilian                    Zivilist
designation_crewquarters                Quartiere der Crew

loader_mode_stop                        Stopp
loader_mode_load                        Laden
loader_mode_unload                      Entladen


# =============================================================================
# Story stuff
# =============================================================================

pressanykey                             – Weiter –

opentextcrawl_1                         Es ist das 23. Jahrhundert. Die Menschheit hat die Sterne kolonisiert.
opentextcrawl_2                         Millionen von Menschen leben auf anderen Planeten, manche davon Hunderte von Lichtjahren von der Erde entfernt.
opentextcrawl_3                         Von einer dieser Kolonien hat die Erde eine dringende Nachricht erhalten. Es wurde eine finstere Anomalie entdeckt, für die niemand eine Erklärung findet.
opentextcrawl_4                         Wo einst ein Stern war, ist jetzt nichts als eine schwarze Leere – und diese Leere breitet sich allmählich aus.
opentextcrawl_5                         Alle, die in ihrer Nähe leben, nennen sie den UNTERGANG und glauben, dass sie irgendwann die gesamte Galaxis verschlingen wird.
opentextcrawl_6                         Allerdings sind nur wenige bereit, ihnen zu glauben.
opentextcrawl_7                         Nichtsdestotrotz hat die Erde dich und deine Crew mit dem Wissenschaftsschiff PRAKTYKA ausgesandt, um das Phänomen vor Ort zu untersuchen.

mission_flightready_title               Mach dein neues Schiff flugbereit.
mission_flightready_description1        Alle Schiffe müssen die Basiszertifizierung zur Flugbereitschaft erhalten, bevor sie für den Betrieb zugelassen werden können.
mission_flightready_description2        Ein Schiff benötigt Folgendes, um offiziell seine Flugbereitschaft bescheinigt zu bekommen:
mission_flightready_power_help          Reaktor zur Energieerzeugung. Setze einen Treibstoffbelader ein, um Treibstoff in den Reaktor zu leiten.
mission_flightready_engines_help        Triebwerke für den Antrieb. Teste deinen Antrieb in der Ansicht TAKTISCH, um ihn zu zertifizieren.
mission_flightready_lifesupport_help    Lebenserhaltungssysteme, um die Kabine mit Atemluft zu versorgen. Setze eine Lüftungsanlage ein, um die Kabine unter Druck zu setzen, sowie einen Sauerstoffbelader, um Atemluft zuzuführen.
mission_flightready_ftljump_help        Einen FTL-Antrieb. Teste deinen neuen FTL-Antrieb und springe zu dem auf der Karte markierten Zielort.
mission_type_tutorialflightready        ZIELORT

mission_flightready_power               Ein Reaktor, der Energie erzeugt.
mission_flightready_engines             Triebwerke für den Antrieb
mission_flightready_movement            Teste die Triebwerke in der Ansicht TAKTISCH.
mission_flightready_lifesupport         Lebenserhaltungssysteme, um das Innere des Schiffs bewohnbar zu machen [*X %]
mission_flightready_ftl                 Einen FTL-Antrieb, der Hyperraum-Sprünge ermöglicht.
mission_flightready_ftljump             Sprung zum markierten Zielort


# =============================================================================
# The trouble with Tiddlets
# =============================================================================


mission_type_episodetiddlets            Tiddlets abliefern
mission_tiddlets_title                  Kennst du Tiddlets?
mission_tiddlets_description1           Wir benötigen ein Schiff, das den Transport eines Wurfs seltener, niedlicher Tiere in ein viele Sprünge entferntes Reservat übernimmt.
mission_tiddlets_description2           Die Tiere sind nicht gefährlich. Allerdings gibt es besondere Anforderungen, die genau eingehalten werden müssen, damit sie den Transport überleben.
mission_tiddlets_description3           Wir zahlen *X $, sobald der gesamte Wurf sicher abgeliefert wurde.
mission_tiddlets_accepted               Ausgezeichnet. Wir schicken jetzt ein Shuttle zu dir.
mission_tiddlets_accepted1              Vielen Dank, dass du uns und diesen einzigartigen Kreaturen hilfst. Ehrlich gesagt, war es schwierig, einen Kapitän zu finden, der diese Mission übernehmen wollte.
mission_tiddlets_accepted2              Wir haben dir einen Wurf von acht Tiddlets-Weibchen überlassen. Es sind auch noch ein paar bequeme Boxen dabei, in denen sie schlafen können.
mission_tiddlets_accepted3              Bitte pass gut auf sie auf!
mission_tiddlets_delivered              Wir haben *X von 8 Tiddlets geliefert.
mission_tiddlets_alldelivered1          abbrechen 8 Tiddlets wurden abgeliefert.
mission_tiddlets_alldelivered2          Allerdings gibt es ein entscheidendes Detail, das unbedingt zu beachten ist, um Tiddlets sicher zu transportieren.
mission_tiddlets_alldelivered3          Sie können problemlos bis zu *X Sekunden lang im Hyperraum überleben. Wird dieser Zeitraum überschritten, besteht die Gefahr, dass sie einem tödlichen Schock erliegen.
mission_tiddlets_alldelivered4          Bitte sei sehr vorsichtig bei der Wahl der Hyperraumroute.
mission_tiddlets_stillalive             Verbliebene lebendige Tiddlets: *X
mission_tiddlets_dead                   Es sind jetzt *X tote Tiddlets an Bord.
mission_tiddlets_saferadius             TIDDLETS: SICHERHEITSABSTAND
mission_tiddlets_reproduction1          Ach, du meine Güte! Wir waren uns sicher, dass alle 8 weiblich sind, aber offensichtlich haben wir uns geirrt.
mission_tiddlets_reproduction2          Andere Lebewesen würde man in einem solchen Fall räumlich trennen, aber Tiddlets pflanzen sich telepathisch fort – und zwar ausschließlich während der Reise durch den Hyperraum.
mission_tiddlets_shock                  Ach, du meine Güte! Das sind einfach so viele!
mission_tiddlets_payment                Wir haben *X von 8 Tiddlets erhalten. Fälliges Honorar: *Y $.
mission_tiddlets_extras                 Wir haben jetzt *X Tiddlets zusätzlich erhalten!
mission_tiddlets_alldelivered           Wir haben alle deine Tiddlets erhalten. Vielen Dank!
mission_tiddlets_extrareward1           Da du uns einen ganz neuen Wurf gebracht hast, fanden wir es angebracht, unserer Dankbarkeit mit einem Geschenk Ausdruck zu verleihen.
mission_tiddlets_extrareward2           Wir haben dir ein paar Prototypen eines Langstrecken-Hyperraumsensors geschickt. Sie sind deutlich präziser als das Standardmodell. Wir hoffen, sie werden sich als nützlich erweisen.
mission_tiddlets_notenough              Aber wir haben uns darauf verlassen, dass du für ihre Sicherheit sorgst. Du hast uns enttäuscht.
mission_tiddlets_failure                Was zum Teufel ist passiert? Wir haben dir die Tiddlets anvertraut und du hast uns zutiefst enttäuscht!
mission_tiddlets_suppliername           Tiddlet-Züchter
mission_tiddlets_invite1                Sei gegrüßt! Wir suchen einen Piloten, der uns bei einer wichtigen Tierschutzangelegenheit helfen kann.
mission_tiddlets_invite2                Wenn du helfen und eine Menge Credits verdienen möchtest, findest du unseren Job in der Liste der VERTRÄGE.
mission_tiddlets_success                *X Tiddlets geliefert.

mission_tiddletssale_title              GESUCHT: Tiddlets
mission_type_episodetiddletssale        GESUCHT: Tiddlets
mission_tiddletssale_description1       Wir zahlen einen sehr großzügig bemessenen Preis jeder Person, die uns einen oder mehrere Tiddlets zur Verfügung stellen kann.
mission_tiddletssale_accepted1          Solltest du Tiddlets besitzen, dann bring sie zu uns und wir werden dich reich belohnen.
mission_tiddletssale_accepted2          Wir werden auch nicht nachfragen, woher sie stammen. Aber wir benötigen jeden Tiddlet, den du hast. Wir müssen sichergehen, dass mindestens ein Männchen im Wurf ist.
mission_tiddletssale_offer              Wir zahlen *X $ pro Tiddlet.
mission_tiddletssale_fulloffer          Wir bieten dir *Y $ für alle *X Tiddlets.
mission_tiddletssale_received           Wir haben *X Tiddlets erhalten. Fällige Gesamtzahlung: *Y $.
mission_tiddletssale_allreceived        Vielen Dank! Bei so vielen Tiddlets können wir direkt beginnen, diese köstlichen Kreaturen zu züchten.
mission_tiddletssale_invite1            Gerüchten zufolge sollst du einige seltene und wertvolle Lebensformen an Bord haben.
mission_tiddletssale_invite2            Schau bei deiner nächsten Vertragsbehörde vorbei und vielleicht werden wir uns ja einig.
mission_tiddletssale_buyername          Zwielichtiger Käufer
mission_tiddletssale_success            *X Tiddlets gehandelt

object_tiddlet                          Tiddlet
tiddlet_child                           Baby
tiddlet_boxed                           Verpackt

# =============================================================================
# New Player Help
# =============================================================================

newplayerhelp_fuelpipe                  <TREIBSTOFFROHRLEITUNG

# =============================================================================
# Alerts
# =============================================================================

alert_title                             ALARME

alert_type_none                         KEIN ALARM
alert_type_test                         TESTALARM
alert_type_hullbreach                   HÜLLENBRUCH
alert_type_hullbreach_caption           Repariere *X %.
alert_type_hullbreach_tooltip           Die Hülle deines Schiffs wurde durchlöchert und der Druck in der Kabine fällt. Deine Crew wird den Bruch reparieren, aber du solltest vielleicht die Belüftungsgitter der Türen schließen, um den Bereich abzudichten.
alert_type_co2                          CO2-WARNUNG
alert_type_co2_tooltip                  Im Schiff hat sich eine riskante Menge an CO2 angesammelt. Wenn sie 100 % erreicht, wird deine Crew ersticken. Kaufe einen CO2-Absorber und schließe ihn an einen Lagertank an.
alert_type_co2_caption                  *X % tödlich
alert_type_meteorshower                 METEORSCHWARM
alert_type_hostileforces                KONTAKT MIT DEM GEGNER
alert_type_hostileforces_caption        *X gegnerische Schiffe
alert_type_crewoverworked               HEUERE MEHR CREWMITGLIEDER AN
alert_type_heavydamage                  SCHWERER SCHADEN
alert_type_heavydamage_caption          Schaden: *X %
alert_type_suffocating                  CREW ERSTICKT GERADE
alert_type_suffocating_caption          *X ersticken gerade
alert_type_dead                         TODESFÄLLE
alert_type_dead_caption                 *X tot
alert_type_lowresource_caption          *X
alert_type_lowfuel                      TREIBSTOFF GEHT ZUR NEIGE
alert_type_lowftl                       FTL-LADUNGEN
alert_type_lowoxygen                    SAUERSTOFF GEHT ZUR NEIGE
alert_type_lowbattery                   AKKU FAST LEER
alert_type_lowbattery_caption           *X %
alert_type_lowbattery_tooltip           Deine Akkus sind leer. Wahrscheinlich erzeugen deine Reaktoren nicht genügend Energie und der Bedarf deines Schiffs wird nicht gedeckt. Du brauchst entweder weitere Reaktoren oder mehr Akkuspeicher oder beides.
alert_type_powercut                     ENERGIEAUSFALL
alert_type_powercut_nofuel              Treibstoffversorgung unterbrochen
alert_type_powercut_tooltip             Der Reaktor hat sich abgeschaltet. Es ist davon auszugehen, dass die Treibstoffversorgung unterbrochen wurde. Du solltest vielleicht Vorratstanks einsetzen, damit du zuverlässig über einen Vorrat an Treibstoff für deinen Reaktor verfügst, aus dem du dich jederzeit bedienen kannst.
alert_type_nostorage                    KEIN LAGERPLATZ

warning_unbreathable                    KEINE ATEMLUFT
warning_suitsrequired                   RAUMANZÜGE ERFORDERLICH
warning_deliveryblocked                 LIEFERUNG BLOCKIERT
warning_storagerequired                 LAGERZONEN BEREITSTELLEN

# =============================================================================
# Misc
# =============================================================================

format_currency                        *X $
format_per_square                      *X/Feld

# =============================================================================
# Ratings
# =============================================================================

ratings                                 WERTE
rating_word                             Wert
rating_rankincreased                    RANG ERHÖHT
rating_combat                           Kampf
rating_industry                         Industrie
rating_humanitarian                     Humanitär
rating_logistics                        Logistik
rating_criminal                         Kriminell
rating_title_combat                     Kampfwert
rating_title_industry                   Industriewert
rating_title_humanitarian               Humanitärer Wert
rating_title_logistics                  Logistikwert
rating_title_criminal                   Kriminell Wert
rating_rank                             RANG *X

# =============================================================================
# Stargate
# =============================================================================

phase_title                             Phase *X

stargate_help                           Wenn du fertige Teile für das Sternentor-Projekt einreichen willst, verkaufe sie an einem beliebigen Handelsaußenposten im Sektor.

recipe_resources_required               Erforderliche Ressourcen
recipe_created_in                       Fertigung in: *X
recipe_duration                         Dauer: *X Sekunden
recipe_quantity_required                *X x *Y

stargate_energy_required                ERFORDERLICH: *X MW
stargate_energy_received                ERHALTEN: *X MW

stargate_testfire_help                  Versorge mit Energiesendern genug Energie zum Sternentor, um den Testbrand abzuschließen! Jeder Sender strahlt bis zu 100 MW zum Sternentor

smelt_title                             *X schmelzen

stargate_award_title                    STARGATE-FORTSCHRITT
stargate_award_subtitle                 Phase *X abgeschlossen
