
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nouveau
entity_death_suffocation                Suffocation
entity_death_dehydration                Déshydratation
entity_death_starvation                 famine
entity_death_co2poisoning               Gaz carbonique
        
order_none								Aucun
order_salvage						    Récupérer
order_gather							Rassembler des matériaux
order_repairhull						Réparer la coque
order_shiftwork							Travail posté
order_suitson							Combinaison sur
order_exteriorwork                      Travaux extérieurs
order_weaponsactive                     Armes libres
order_fleetlogistics                    Logistique de la flotte
order_battlestations                    Postes de combat

battle_title                            BATAILLE
stations_title                          STATIONS

designation_civilian                    Civil
designation_crewquarters                Quartiers de l'équipage

loader_mode_stop                        Stop
loader_mode_load                        Charger
loader_mode_unload                      Décharger


# =============================================================================
# Story stuff
# =============================================================================

pressanykey                             - continue -

opentextcrawl_1                         Nous sommes au 23ème siècle. L'humanité a colonisé les étoiles.
opentextcrawl_2                         Des millions de personnes vivent désormais hors du monde, parfois à des centaines d’années-lumière de la Terre.
opentextcrawl_3                         La nouvelle est parvenue sur Terre en provenance d'une de ces colonies. Une sombre anomalie a été observée et ne peut être expliquée.
opentextcrawl_4                         Là où il y avait autrefois une étoile, il n’y a plus qu’un vide noir qui s’agrandit lentement.
opentextcrawl_5                         Ceux qui vivent à proximité l’appellent L’EFFONDREMENT et pensent qu’il finira par consumer la galaxie entière.
opentextcrawl_6                         Rares sont ceux qui les croient.
opentextcrawl_7                         Néanmoins, la Terre vous a envoyé, vous et votre équipage, à bord du vaisseau scientifique PRAXIS pour enquêter.

mission_flightready_title               Préparez votre nouveau vaisseau pour le vol
mission_flightready_description1        Tous les vaisseaux doivent réussir la certification de base de préparation au vol avant d'être autorisés à effectuer des opérations.
mission_flightready_description2        Un vaisseau nécessite chacune des capacités suivantes pour être certifié « Prêt au vol » :
mission_flightready_power_help          Un réacteur pour produire de l'électricité. Utilisez un chargeur de carburant pour acheminer le carburant vers le réacteur.
mission_flightready_engines_help        Moteurs pour la propulsion. Testez vos moteurs (depuis la vue TACTIQUE) pour les certifier.
mission_flightready_lifesupport_help    Support de vie pour rendre la cabine habitable. Utilisez un conduit d'air pour pressuriser la cabine, connecté à un chargeur d'oxygène pour fournir l'air.
mission_flightready_ftljump_help        Un moteur FTL. Testez votre nouveau moteur FTL en effectuant un saut vers la destination indiquée sur la carte.
mission_type_tutorialflightready        DESTINATION

mission_flightready_power               Un réacteur, générant de l'énergie.
mission_flightready_power_done          [TERMINE] Un réacteur, générant de l'énergie
mission_flightready_engines             Moteurs capables de propulsion
mission_flightready_engines_done        [TERMINE] Moteurs capables de propulsion
mission_flightready_movement            Testez les moteurs depuis l'écran TACTIQUE
mission_flightready_movement_done       [TERMINE] Testez les moteurs depuis l'écran TACTIQUE
mission_flightready_lifesupport         Un système de survie pour rendre l'intérieur habitable [*X%]
mission_flightready_lifesupport_done    [TERMINE] Un système de survie pour rendre l'intérieur habitable
mission_flightready_ftl                 Un moteur FTL capable de sauter dans l'hyperespace
mission_flightready_ftl_done            [TERMINE] Un moteur FTL capable de sauter dans l'hyperespace
mission_flightready_ftljump             Aller à la destination marquée
mission_flightready_ftljump_done        [TERMINE] Aller à la destination marquée


# =============================================================================
# The trouble with Tiddlets
# =============================================================================


mission_type_episodetiddlets            Livrer des friandises
mission_tiddlets_title                  Le problème avec les Tiddlets
mission_tiddlets_description1           Nous avons besoin d'un vaisseau de transport pour transporter une portée d'animaux vivants rares et adorables vers un sanctuaire, à plusieurs sauts.
mission_tiddlets_description2           Les animaux ne sont pas dangereux, mais ils ont des exigences particulières qui doivent être strictement respectées, sinon ils ne survivront pas au voyage.
mission_tiddlets_description3           Nous paierons $*X si la totalité de la litière est livrée en toute sécurité.
mission_tiddlets_accepted               Excellent. Nous vous envoyons une navette maintenant.
mission_tiddlets_accepted1              Merci beaucoup de nous aider avec ces créatures uniques. Si je suis honnête, nous avons eu du mal à trouver un capitaine disposé à entreprendre cette mission.
mission_tiddlets_accepted2              Nous vous avons laissé une portée de huit femelles Tiddlet, ainsi que des cages confortables dans lesquelles elles peuvent dormir.
mission_tiddlets_accepted3              S’il vous plaît, prenez bien soin d’eux !
mission_tiddlets_delivered              Nous avons livré *X Tiddlets sur 8.
mission_tiddlets_alldelivered1          Les 8 Tiddlets ont été livrés.
mission_tiddlets_alldelivered2          Maintenant, il y a un détail crucial que vous devez respecter afin de transporter ces Tiddlets en toute sécurité.
mission_tiddlets_alldelivered3          Ils peuvent survivre jusqu'à *X secondes dans l'hyperespace en toute sécurité, mais au delà cela risque de les faire mourir.
mission_tiddlets_alldelivered4          Soyez très prudent lorsque vous choisissez votre itinéraire hyperespace.
mission_tiddlets_stillalive             Les Tiddlets toujours en vie : *X
mission_tiddlets_dead                   Il y a maintenant *X tiddlets morts à bord
mission_tiddlets_saferadius             DISTANCE DE SECURITE
mission_tiddlets_reproduction1          Oh mon Dieu! Nous étions certains que tous les 8 étaient des femmes, mais nous avons clairement commis une erreur.
mission_tiddlets_reproduction2          Nous vous suggérons de les séparer, mais les tiddlets se reproduisent par télépathie, et uniquement lors d'un voyage dans l'hyperespace.
mission_tiddlets_shock                  Oh mon Dieu!! Il y en a tellement !
mission_tiddlets_payment                Nous avons reçu en toute sécurité *X Tiddlets sur 8 - Paiement dû $*Y
mission_tiddlets_extras                 Nous avons maintenant reçu *X Tiddlets supplémentaires !
mission_tiddlets_alldelivered           Nous avons reçu tous vos Tiddlets. Merci beaucoup !
mission_tiddlets_extrareward1           Puisque vous nous avez livré une toute nouvelle portée, nous avons pensé qu'il était juste de vous récompenser avec un cadeau.
mission_tiddlets_extrareward2           Nous vous avons envoyé quelques prototypes de capteurs hyperspatiaux à longue portée. Ils sont beaucoup plus sensibles que le modèle standard. Nous espérons que vous les trouverez utiles.
mission_tiddlets_notenough              Mais nous vous avons fait confiance pour veiller à leur sécurité. Vous nous avez laissé tomber.
mission_tiddlets_failure                Que s'est-il passé ? Nous vous avons confié ces Tiddlets et vous nous avez laissé tomber !
mission_tiddlets_suppliername           Eleveur de Tiddlet
mission_tiddlets_invite1                Salutations! Nous recherchons un pilote qui peut nous aider sur une question importante en matière de bien-être animal.
mission_tiddlets_invite2                Si vous souhaitez aider (et gagner beaucoup de crédits), veuillez trouver notre emploi dans la liste des CONTRATS.
mission_tiddlets_success                Livré *X Tiddlets

mission_tiddletssale_title              RECHERCHE : Tiddlets
mission_type_episodetiddletssale        RECHERCHE : Tiddlets
mission_tiddletssale_description1       Nous sommes prêts à payer un prix très généreux à toute personne pouvant nous fournir un ou plusieurs Tiddlets.
mission_tiddletssale_accepted1          Si vous avez des Tiddlets disponibles, apportez-les-nous et nous vous récompenserons généreusement.
mission_tiddletssale_accepted2          Nous ne poserons aucune question sur leur origine. Mais nous aurons besoin de chaque Tiddlet que vous possédez – afin que nous puissions être sûrs qu’il y a au moins un mâle dans la portée.
mission_tiddletssale_offer              Nous paierons $*X pour chaque Tiddlet que vous possédez.
mission_tiddletssale_fulloffer          Nous vous offrons $*Y pour tous les *X de vos Tiddlets.
mission_tiddletssale_received           Nous avons reçu *X Tiddlets. Paiement total dû $*Y.
mission_tiddletssale_allreceived        Bien, merci beaucoup. Avec autant de Tiddlets, nous pouvons commencer immédiatement à cuisiner ces délicieuses créatures.
mission_tiddletssale_invite1            Nous avons entendu une rumeur selon laquelle vous pourriez avoir à bord des formes de vie rares et précieuses.
mission_tiddletssale_invite2            Arrêtez-vous au comité des contrats le plus proche et nous pourrons peut-être conclure un accord.
mission_tiddletssale_buyername          Acheteur louche
mission_tiddletssale_success            Echanger *X Tiddlets

object_tiddlet                          Tiddlet
tiddlet_child                           Bébé
tiddlet_boxed                           En boîte

# =============================================================================
# New Player Help
# =============================================================================

newplayerhelp_fuelpipe                  <TUYAU DE CARBURANT

# =============================================================================
# Alerts
# =============================================================================

alert_title                             ALERTES

alert_type_none                         PAS D'ALERTE
alert_type_test                         TEST D'ALERTE
alert_type_hullbreach                   RUPTURE DE COQUE
alert_type_hullbreach_caption           Réparer *X%
alert_type_hullbreach_tooltip           Il y a un trou dans la coque de votre vaisseau et la cabine est en dépressurisation. Votre équipe réparera la brèche, mais vous devriez envisager de fermer vos portes d'aération pour sceller la zone.
alert_type_co2                          AVERTISSEMENT CO2
alert_type_co2_tooltip                  Il y a une accumulation dangereuse de CO2 à l’intérieur de votre vaisseau. S'il atteint 100%, votre équipage va suffoquer. Pensez à acheter un épurateur de CO2 et à le connecter à un réservoir de stockage.
alert_type_co2_caption                  *X % mortel
alert_type_meteorshower                 PLUIE DE METEORITES
alert_type_hostileforces                CONTACT HOSTILE
alert_type_hostileforces_caption        *X vaisseaux ennemis
alert_type_crewoverworked               embaucher plus d'équipage
alert_type_heavydamage                  GROS DEGATS
alert_type_heavydamage_caption          Dégâts *X%
alert_type_suffocating                  EQUIPAGE SUFFOCANT
alert_type_suffocating_caption          *X suffoquent
alert_type_dead                         DECÈS
alert_type_dead_caption                 *X mort
alert_type_lowresource_caption          *X
alert_type_lowfuel                      CARBURANT FAIBLE
alert_type_lowftl                       CHARGES FTL
alert_type_lowoxygen                    OXYGÈNE FAIBLE
alert_type_lowbattery                   BATTERIE FAIBLE
alert_type_lowbattery_caption           *X%
alert_type_lowbattery_tooltip           Vos batteries sont épuisées. Il est probable que vos réacteurs ne produisent pas suffisamment d'énergie pour répondre aux besoins de votre vaisseau. Vous aurez besoin soit de plus de réacteurs, soit de plus de batteries, voir même des deux.
alert_type_powercut                     COUPURE DE COURANT
alert_type_powercut_nofuel              Alimentation en carburant interrompue
alert_type_powercut_tooltip             Votre réacteur s'est arrêté. Il est probable que l'approvisionnement en carburant ait été interrompu. Pensez à utiliser des réservoirs de stockage pour créer une réserve permanente de carburant dans laquelle votre réacteur pourra puiser.
alert_type_nostorage                    PAS DE STOCKAGE

warning_unbreathable                    Irrespirable
warning_suitsrequired                   COMBINAISON SPATIALE REQUISE
warning_deliveryblocked                 LIVRAISON BLOQUEE
warning_storagerequired                 CREER DES ZONES DE STOCKAGE

# =============================================================================
# Misc
# =============================================================================
 
 format_currency                        $*X 
 format_per_square                      *X / sq

# =============================================================================
# Ratings
# =============================================================================

ratings                                 NOTES
rating_word                             notation
rating_rankincreased                    RANG AMELIORE
rating_combat                           Combat
rating_industry                         Industrie
rating_humanitarian                     Humanitaire
rating_logistics                        Logistique
rating_criminal                         Criminel
rating_title_combat                     Note de combat
rating_title_industry                   Evaluation de l'industrie
rating_title_humanitarian               Evaluation humanitaire
rating_title_logistics                  Evaluation logistique
rating_title_criminal                   Evaluation criminelle
rating_rank                             RANG *X

# =============================================================================
# Stargate
# =============================================================================

phase_title                             Etape *X

stargate_help                           Pour soumettre des pièces terminées au projet Stargate, vendez-les dans n'importe quel avant-poste commercial du secteur.

recipe_resources_required               Ressources requises
recipe_created_in                       Créé en *X
recipe_duration                         Durée: *X secondes
recipe_quantity_required                *X x *Y

stargate_energy_required                REQUIS: *X MW
stargate_energy_received                REQUIS: *X MW

stargate_testfire_help                  Fournissez suffisamment de puissance à la porte des étoiles avec des émetteurs d'énergie pour terminer le tir d'essai ! Chaque émetteur envoi jusqu'à 100 MW vers la porte des étoiles

smelt_title                             Extraction *X

stargate_award_title                    AVANCEE DE LA PORTE DES ETOILES
stargate_award_subtitle                 Etape *X Complétée

# =============================================================================
# Industry Tutorial
# =============================================================================

opentextcrawlindustry_1                 Nous sommes au 23ème siècle. L'humanité a colonisé les étoiles.
opentextcrawlindustry_2                 Des millions de personnes vivent désormais hors du monde, parfois à des centaines d’années-lumière de la Terre.
opentextcrawlindustry_3                 L’ère de l’industrialisation massive de l’espace a commencé, alimentant un désir insatiable d’énergie et de métal.
opentextcrawlindustry_4                 De puissantes entreprises contrôlent de vastes étendues d’espace, soutenues par des réserves de richesse incalculables.
opentextcrawlindustry_5                 Le PDG de l'une de ces sociétés, INTERSTELLAR MINING CORPORATION, a mis l'humanité au défi de construire une porte des étoiles si puissante qu'elle devra atteindre notre galaxie la plus proche.
opentextcrawlindustry_6                 Des centaines de milliards de dollars de financement ont été mis de côté.
opentextcrawlindustry_7                 Le moment est venu pour qu'une petite équipe de mineurs entrepreneurs et industrieux se lance dans une nouvelle carrière et fasse fortune dans les étoiles.

tutorial_introduction_title             DIDACTICIEL
tutorial_next                           SUIVANT
tutorial_introduction1                  Bienvenue dans notre nouvelle demeure.
tutorial_introduction2                  Cette station spatiale n'a pas été utilisée depuis des années.\n\nC'est un site abandonné, sans électricité ni atmosphère respirable. Notre premier travail consiste à résoudre ce problème.\n\nCliquez sur SUIVANT pour continuer.

tutorial_camera_title                   COMMANDES DE LA CAMERA
tutorial_cameracontrols                 Utilisez ZQSD ou les TOUCHES FLECHEES pour déplacer la vue.\n\nZoomez sur la vue à l'aide de la MOLETTE DE LA SOURIS ou de A/E sur le clavier.\n\nFaites glisser la vue en maintenant enfoncé le BOUTON DU MILIEU DE LA SOURIS.

tutorial_power_title                     INSTALLATION DE L'ELECTRICITE
tutorial_power_titlecomplete            ENERGIE INSTALLEE
tutorial_powerinstallmenu              Commençons par installer un REACTEUR, pour générer de l'énergie pour notre vaisseau.\n\nCliquez sur le menu CONSTRUCTION, puis cliquez sur INSTALLER.
tutorial_powerselectreactor            Il s'agit de tout l'équipement en stock dont vous disposez à bord.\n\nSélectionnez REACTEUR dans la liste.
tutorial_powerplacereactor             Placez le REACTEUR à l’intérieur de votre vaisseau dans le module Sud-Ouest.
tutorial_powerreactorinprogress        Votre équipage installera le REACTEUR.
tutorial_powerselectloader             Le REACTEUR a besoin de CARBURANT, et nous utilisons un CHARGEUR DE CARBURANT pour le pomper vers le REACTEUR.\n\nSélectionnez le CHARGEUR DE CARBURANT dans le menu Construction.
tutorial_powerplaceloader              Stamp the FUEL LOADER down somewhere near the REACTOR.
tutorial_powerselectpipes              We need to connect the FUEL LOADER to the REACTOR, using a Pipe.\n\nSelect PIPES from the Construction Menu.
tutorial_powerpipeconnect              LES TUYAUX DE CARBURANT sont utilisés pour connecter la sortie d'un équipement à l'entrée d'un autre.\n\nLES TUYAUX DE CARBURANT sont jaunes et doivent relier les cercles jaunes sur l'équipement.\n\nFaites glisser un tuyau du CHARGEUR DE CARBURANT vers le REACTEUR, en reliant les cercles de tuyaux jaunes.
tutorial_powerreactorpowerup           Le REACTEUR va démarrer.
tutorial_powerreactoractive            Le REACTEUR est activé ! Nous produisons désormais de l'électricité pour notre centrale.

tutorial_air_title                     OXYGÈNE
tutorial_airinstallairduct             Nous devons maintenant offrir une atmosphère respirable à notre équipage. Cela se fait avec un CONDUIT D'AIR. Installez un CONDUIT D'AIR quelque part à proximité du réacteur.
tutorial_aircables                     Le CONDUIT D'AIR doit être alimenté par le REACTEUR. Sélectionnez CABLES dans le menu CONSTRUCTION.
tutorial_aircabletoreactor             LES CABLES D'ALIMENTATION sont utilisés pour connecter les réacteurs à tout équipement nécessitant de l'énergie.\n\nLES CABLES D'ALIMENTATION sont rouges et doivent connecter les cercles rouges des équipements.\n\nFaites glisser un câble d'alimentation du REACTEUR vers le CONDUIT D'AIR, en reliant les cercles rouges.
tutorial_airinstallairloader           Le CONDUIT D'AIR a besoin d'OXYGÈNE, de la même manière que le REACTEUR a besoin de CARBURANT. Nous pouvons utiliser un CHARGEUR D'OXYGÈNE pour fournir de l'OXYGÈNE.\n\n Installer un CHARGEUR D'OXYGÈNE près du CONDUIT D'AIR.
tutorial_airpipes                      Nous devons connecter le CHARGEUR D'OXYGÈNE au CONDUIT D'AIR à l'aide de TUYAUX.\n\nSélectionnez TUYAUX dans le menu CONSTRUCTION.
tutorial_airpipetoairduct              Faites glisser un TUYAU du CHARGEUR D'OXYGÈNE vers le CONDUIT D'AIR, en reliant les cercles BLEU.
tutorial_airdone                       Le CHARGEUR D'OXYGÈNE s'active et met la cabine sous pression ! L'atmosphère sera bientôt respirable.

tutorial_stargatescreen_title           PROJET PORTE DES ETOILES
tutorial_stargatescreen1                Tournons notre attention vers le PROJET PORTE DES ETOILES.\n\nNous pouvons voir notre progression depuis l'écran PORTE DES ETOILES.\n\nOuvrez l'écran PORTE DES ETOILES.
tutorial_stargatescreen2                Cet écran montre les phases nécessaires à la construction de la PORTE DES ETOILES.\n\nNous sommes dans la PHASE 1. Les travaux ne font que commencer.
tutorial_stargatescreen3                Sur la gauche de l'écran, vous pouvez voir les conditions requises pour terminer la PHASE 1.\n\nNous devons fabriquer :\n- 100 CADRES de PORTE DES ETOILES \n-10 RESINE de PORTE DES ETOILES
tutorial_stargatescreen4                Ces composants de PHASE 1 sont faciles à fabriquer et nous avons déjà ce dont nous avons besoin à bord.\n\nNous pouvons les vendre au PROJET PORTE DES ETOILES pour une petite fortune.
tutorial_stargatescreen5                Fermez l'écran PORTE DES ETOILES en cliquant à nouveau sur la barre d'outils (ou appuyez sur ESC).

tutorial_fabrication_title              FABRICATION
tutorial_fabricationinstallfabricator       Les composants sont fabriqués dans un FABRICATEUR, en utilisant des matières premières comme des LINGOTS DE METAL.\n\nInstallez un FABRICATEUR quelque part dans le quadrant sud-est de la station.
tutorial_fabricationinstallassemblytable    Ces composants sont ensuite assemblés en produits finis sur une TABLE D'ASSEMBLAGE.\n\nInstallez une TABLE D'ASSEMBLAGE quelque part à proximité du FABRICATEUR.
tutorial_fabricationpower               Ce nouvel équipement a besoin de puissance. Construisez des CÂBLES D'ALIMENTATION pour connecter votre REACTEUR au FABRICATEUR et à la TABLE D'ASSEMBLAGE.
tutorial_fabricationconfigurefab1       Nous devons configurer le nouvel équipement pour fabriquer les produits que nous souhaitons.\n\nCLIC DROIT sur le FABRICATEUR pour le configurer.
tutorial_fabricationconfigurefab2       Ce menu déroulant affiche tous les composants que nous pouvons fabriquer dans un FABRICATEUR.\n\nSélectionnez CADRE dans la liste.
tutorial_fabricationconfigureass1       Nous devons configurer la TABLE D'ASSEMBLAGE de la même manière.\n\nCLIC DROIT sur la table d'assemblage.
tutorial_fabricationconfigureass2       Sélectionnez CADRE de PORTE DES ETOILES dans le menu déroulant.
tutorial_fabricationclosefab1           Fermez le panneau d'équipement en cliquant sur le X dans le coin supérieur droit ou en appuyant sur ESC.
tutorial_fabricationclosefab2           Fermez le panneau d'équipement en cliquant sur le X dans le coin supérieur droit ou en appuyant sur ESC.
tutorial_fabricationworking             Votre équipe fabrique maintenant des CADRES à partir de LINGOTS DE METAL, puis assemble ces CADRES dans des CADRES STARGATE, que nous pouvons vendre au projet PORTE DES ETOILES pour gagner de l'argent.

tutorial_smelters_title                 FONDERIES
tutorial_smeltersintroduction           Nous allons avoir besoin de beaucoup de LINGOTS DE METAL si nous voulons fabriquer suffisamment de CADRES STARGATE.\n\nNous n'avons pas beaucoup de LINGOTS DE METAL à bord et nous en manquerons bientôt.
tutorial_smeltersbuild                  Mais nous avons beaucoup de FERRAILLES et nous pouvons les faire fondre dans une FONDERIE.\n\nConstruisez une FONDERIE quelque part à proximité de la chaîne de production.
tutorial_smelterspower                  Connectez les fonderies au REACTEUR à l'aide de CABLES D'ALIMENTATION
tutorial_smeltersscrapmetal             Faites un clic droit sur la FONDERIE et définissez le matériau sur FERRAILLE DE METAL.
tutorial_smeltersoperational            L'équipage va maintenant charger la FERRAILLE et les fondre en LINGOTS DE METAL beaucoup plus utiles.
tutorial_smeltersdismantle              Il y a une tonne d'EQUIPEMENT EN RUINE autour de cette ancienne station, que nous pouvons décomposer en FERRAILLE.\n\nSélectionnez DEMANTLER dans la barre d'outils CONSTRUCTION.
tutorial_smelterssalvage                Cliquez sur l'EQUIPEMENT EN RUINE à proximité pour demander à votre équipage de le démonter et de le transformer en FERRAILLE.
tutorial_smeltersstoragetoolbar         Nous pouvons rendre les choses plus efficaces pour notre équipe en leur disant de stocker les FERRAILLES à proximité de la FONDERIE.\n\nSélectionnez STOCKAGE dans la barre d'outils de CONSTRUCTION, puis sélectionnez FERRAILLES dans la liste.
tutorial_smeltersstorageworld           Faites maintenant glisser une zone de stockage à proximité de la FONDERIE.
tutorial_smeltersstoragedone            L'équipage déplacera toute la FERRAILLE dans cette zone.

tutorial_trade_title                    COMMERCE
tutorial_tradewaitforsellable           Votre équipage va maintenant utiliser l'équipement pour produire des CADRES STARGATE.
tutorial_tradeintroduction              Maintenant que nous avons produit des CADRES STARGATE, il est temps d'être payé pour nos efforts. Le PROJET STARGATE achètera tous les composants que nous avons produits et paiera un prix assez élevé.\n\nOuvrez l'écran COMMERCE pour vendre les CADRES STARGATE.
tutorial_tradesell                      Sélectionnez VENDRE dans la liste des catégories commerciales.
tutorial_tradesellframes                Recherchez les CADRES STARGATE que vous avez produits et cliquez pour les ajouter à une vente.\n\nIls devraient être en haut de l'écran de VENTE, surlignés en or.
tutorial_tradecommit                    Cliquez sur CONFIRMER pour valider l'échange et vendre les CADRES STARGATE.
tutorial_tradeinbound                   Une navette accostera désormais à la station et l'équipage transférera les objets échangés.
tutorial_tradeothersupplies             Nous pouvons également utiliser le système COMMERCE pour acheter des matières premières pour produire plus de CADRES STARGATE, ainsi que les ressources dont nous aurons besoin pour survivre.\n\nRouvrez l'écran COMMERCE.
tutorial_tradebuyminerals               Les MINERAIS METALLIQUES peuvent être fondus en LINGOTS DE METAL, tout comme la FERRAILLE.\n\nAjoutez tous les MINERAIS METALLIQUES au commerce.
tutorial_tradebuysmelter                Nous aurons également besoin d'une autre FONDERIE pour commencer à traiter ces MINERAUX METALLIQUES.\n\nTrouvez la FONDERIE sous l'onglet INDUSTRIE et ajoutez-en une à la commande.
tutorial_tradebuymore                   C'est une bonne opportunité de faire le plein d'autres ressources essentielles au maintien de la vie.\n\nNous vous recommandons d'acheter :\n\n - 2x CARBURANT\n - 2x OXYGÈNE\n - 2x EAU\n - 2x ALIMENTATION\n\n- ENGAGEZ 5 PERSONNES SUPPLEMENTAIRES\n\nCONFIRMEZ la commande lorsque vous avez terminé.
tutorial_tradeinstallsmelter            Une fois ces marchandises arrivées, vous devez installer votre deuxième FONDERIE quelque part à proximité de la première.
tutorial_tradesmeltmetallicminerals     Réglez la FONDERIE pour qu'elle transforme les MINERAIS METALLIQUES que vous avez achetés en davantage de LINGOTS DE METAUX.
        
tutorial_fleet_title                    VOTRE FLOTTE
tutorial_fleetinspect                   Pour la prochaine phase, nous aurons besoin d'un vaisseau plus mobile que notre station spatiale actuelle.\n\nIl se trouve qu'il y a un autre vaisseau à vendre qui semble parfait.\n\nSélectionnez le vaisseau INDUSTRIOUS dans la LISTE DES NAVIRES.
tutorial_fleettooexpensive              Nous ne pouvons pas encore nous permettre de l'acheter, mais il contient tout ce dont nous avons besoin pour compléter notre station.\n\nResélectionnez la station dans la liste des vaisseaux.
tutorial_fleetearnenough                Continuez à fabriquer et à vendre des CADRES STARGATE jusqu'à ce que vous disposiez de 300 000 $ en espèces. Nous pourrons alors nous permettre d’acheter le deuxième vaisseau.
tutorial_fleetinspect2                  Vous avez collecté suffisamment d'argent pour acheter le deuxième vaisseau !\n\nSélectionnez l'INDUSTRIOUS dans la liste des vaisseaux.
tutorial_fleetbuy                       Cliquez sur le bouton ACHETER pour acheter l'INDUSTRIOUS.
tutorial_fleettrade                     Le vaisseau est équipé de moteurs FTL pour les voyages interstellaires ! Mais il a besoin d'un équipage.\n\nOuvrez l'ECRAN COMMERCIAL.
tutorial_fleetcrew                      Nous aurons besoin d'un équipage. Embauchez cinq MEMBRES D'EQUIPAGE à partir de l'écran COMMERCE.
tutorial_fleetspacesuits                Cet équipage aura également besoin de combinaisons spatiales car il n'y a pas encore d'atmosphère à bord de notre vaisseau.\n\nCommandez cinq combinaisons spatiales pour le nouvel équipage.
tutorial_fleettradeconfirm              CONFIRMEZ l'échange.
tutorial_fleetcrewarrival               Votre nouvel équipage arrivera en navette.
tutorial_fleetresources                 Nous avons également besoin de ressources pour que le vaisseau fonctionne.\n\nUtilisez l'écran COMMERCE pour acheter :\n- 5x CARBURANT\n- 5x OXYGÈNE\n- 5x CHARGE FTL\n- 2x NOURRITURE\n- 2x EAU.\n\ nCONFIRMEZ l'échange lorsque vous avez terminé.
tutorial_fleetwaitforpowerup            Votre équipage va maintenant mettre le vaisseau sous tension afin de mettre les moteurs et le système de survie en ligne.

tutorial_flight_title                   VOL
tutorial_flighttactical                 Contrairement à notre station, nous pouvons déplacer ce vaisseau et même voyager vers différents systèmes stellaires avec notre moteur FTL.\n\nPour manœuvrer notre vaisseau, passez en mode TACTIQUE en cliquant sur le bouton en surbrillance ou en appuyant sur T.
tutorial_flightengines                  Nous pouvons contrôler directement l'ACCELERATEUR de votre moteur à partir d'ici.\n\nEssayez de régler l'ACCELERATEUR du moteur à pleine puissance.
tutorial_flightturning                  Nous pouvons également faire tourner le vaisseau en cliquant avec le bouton gauche en mode TACTIQUE, dans la direction dans laquelle nous souhaitons voyager.
tutorial_flightexittactical             Quittez le mode TACTIQUE en cliquant à nouveau sur le bouton ou en appuyant sur T.
tutorial_flightinformation              Votre équipage continuera à faire fonctionner le vaisseau et à faire fonctionner les moteurs pendant vos déplacements. Essayez de voler autour du système jusqu'à ce que vous maîtrisiez les commandes.\n\nLorsque vous êtes prêt, arrêtez le vaisseau en réglant l'accélérateur à zéro en mode TACTIQUE.
tutorial_flightsetcourse                Passez en VUE TACTIQUE, puis effectuez un zoom arrière et trouvez la STATION MINIERE JMC.\n\nN'oubliez pas que vous pouvez zoomer en utilisant la MOLETTE DE LA SOURIS et que vous pouvez faire glisser la vue avec ZQSD ou en maintenant enfoncé le BOUTON DU MILIEU DE LA SOURIS.\n\nRapprochez notre vaisseau avec un CLIC DROIT près de la STATION MINIERE JMC pour lancer le pilote automatique.\n\n

tutorial_tutorialend                    [Fin du tutoriel - Alpha 7]
tutorial_tutorialskip                   Êtes-vous sûr de vouloir ignorer le didacticiel ?
tutorial_tutorialskipyes                PASSER LE TUTORIEL
tutorial_tutorialskipno                 REPRENDRE LE TUTORIEL

tutorial_end_title                      FIN DU TUTORIEL

