
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nuevo
mission_flightready_engines_help        Engines for propulsion.  Test fire your engines (From the TACTICAL view) to certify them.
mission_flightready_lifesupport_help    Life support to make the cabin breathable.  Use an Airduct to pressurise the cabin, connected to an Oxygen Loader to supply the air.
mission_flightready_ftljump_help        An FTL Drive.  Test your new FTL engine by making a jump to the destination marked on the map.
mission_type_tutorialflightready        DESTINATION

mission_flightready_power               A Reactor, generating power.
mission_flightready_power_done          [DONE] A Reactor, generating power
mission_flightready_engines             Engines capable of propulsion
mission_flightready_engines_done        [DONE] Engines capable of propulsion
mission_flightready_movement            Test the engines from the TACTICAL screen
mission_flightready_movement_done       [DONE] Test the engines from the TACTICAL screen
mission_flightready_lifesupport         Life support to make the interior habitable [*X%]
mission_flightready_lifesupport_done    [DONE] Life support to make the interior habitable
mission_flightready_ftl                 An FTL Drive capable of Hyperspace jumps
mission_flightready_ftl_done            [DONE] An FTL Drive capable of Hyperspace jumps
mission_flightready_ftljump             Jump to the marked destination
mission_flightready_ftljump_done        [DONE] Jump to the marked destination


# =============================================================================
# The trouble with Tiddlets
# =============================================================================


mission_type_episodetiddlets            Deliver Tiddlets
mission_tiddlets_title                  The trouble with Tiddlets
mission_tiddlets_description1           We need a transport vessel to ferry a litter of lovable, rare live animals to a sanctuary, many jumps away.
mission_tiddlets_description2           The animals aren't dangerous, but they do have some special requirements that must be closely followed or they will not survive the journey.
mission_tiddlets_description3           We will pay $*X if the entire litter is delivered safely.
mission_tiddlets_accepted               Excellent. We are sending a shuttle to you now.
mission_tiddlets_accepted1              Thank you very much for helping us with these unique creatures. If I'm honest, we have struggled to find a captain who was willing to undertake this mission.
mission_tiddlets_accepted2              We have left you with a litter of eight female Tiddlets, along with some comfortable crates for them to sleep in.
mission_tiddlets_accepted3              Please take very good care of them! 
mission_tiddlets_delivered              We have delivered *X out of 8 Tiddlets.
mission_tiddlets_alldelivered1          All 8 Tiddlets have been delivered.
mission_tiddlets_alldelivered2          Now, there is one crucial detail you must adhere to, in order to safely transport these Tiddlets.
mission_tiddlets_alldelivered3          They can survive up to *X seconds in hyperspace safely, but anything beyond that risks them dying of shock.
mission_tiddlets_alldelivered4          Please be very careful when choosing your hyperspace route.
mission_tiddlets_stillalive             Tiddlets still alive : *X
mission_tiddlets_dead                   There are now *X dead tiddlets on board
mission_tiddlets_saferadius             TIDDLET SAFE DISTANCE
mission_tiddlets_reproduction1          Oh my goodness! We were certain all 8 were female, but clearly we made a mistake.
mission_tiddlets_reproduction2          We would suggest you separate them, but tiddlets reproduce telepathically, and only ever during hyperspace travel.
mission_tiddlets_shock                  Oh my goodness!! There are so many of them!
mission_tiddlets_payment                We have safely received *X out of 8 Tiddlets - Payment due $*Y
mission_tiddlets_extras                 We have now received an additional *X Tiddlets! 
mission_tiddlets_alldelivered           We have received all of your Tiddlets. Thank you so much!
mission_tiddlets_extrareward1           Since you delivered an entirely new litter to us, we thought it only fair to reward you with a gift.
mission_tiddlets_extrareward2           We have sent you a couple of prototype Long Range Hyperspace Sensors. They are much more sensitive than the standard model. We hope you find them useful.
mission_tiddlets_notenough              But we trusted you to look after their safety. You've let us down.
mission_tiddlets_failure                What the hell happened? We trusted you with those Tiddlets and you let us down!
mission_tiddlets_suppliername           Tiddlet Breeder
mission_tiddlets_invite1                Greetings! We are looking for a pilot who can help us with an important animal welfare matter.
mission_tiddlets_invite2                If you'd like to help (and earn a lot of credits) please find our job in the CONTRACTS list.
mission_tiddlets_success                Delivered *X Tiddlets

mission_tiddletssale_title              WANTED: Tiddlets
mission_type_episodetiddletssale        WANTED: Tiddlets
mission_tiddletssale_description1       We are willing to pay a very generous price to any individual who can supply us with one or more Tiddlets.
mission_tiddletssale_accepted1          If you have Tiddlets available then bring them to us and we will reward you handsomely.
mission_tiddletssale_accepted2          We won't ask any questions as to where they came from. But we will need every Tiddlet you have - so we can be sure there is at least one male among the litter.
mission_tiddletssale_offer              We will pay $*X for every Tiddlet you have.
mission_tiddletssale_fulloffer          We are offering you $*Y for all *X of your Tiddlets.
mission_tiddletssale_received           We have received *X Tiddlets. Total payment due $*Y.
mission_tiddletssale_allreceived        Well, thank you very much. With this many Tiddlets we can begin farming these delicious creatures immediately.
mission_tiddletssale_invite1            We've heard a rumour you might have some rare, valuable life-forms on board.
mission_tiddletssale_invite2            Stop by your nearest Contract Board and we might be able to make a deal.
mission_tiddletssale_buyername          Shady Buyer
mission_tiddletssale_success            Traded *X Tiddlets

object_tiddlet                          Tiddlet
tiddlet_child                           Baby
tiddlet_boxed                           Boxed

# =============================================================================
# New Player Help
# =============================================================================

newplayerhelp_fuelpipe                  <FUEL PIPE

# =============================================================================
# Alerts
# =============================================================================

alert_title                             ALERTS

alert_type_none                         SIN ALERTAS
alert_type_test                         ALERTA DE TEST
alert_type_hullbreach                   AGUJERO EN EL CASCO
alert_type_hullbreach_caption           Repair *X%
alert_type_hullbreach_tooltip           There is a hole in your ship hull and the cabin is depressurising. Your crew will fix the breach, but you should consider closing your Door Vents to seal off the area.
alert_type_co2                          CO2 WARNING
alert_type_co2_tooltip                  There is a dangerous build up of CO2 inside your ship. If it reaches 100%, your crew will suffocate. Consider buying a CO2 Scrubber and connecting it to a storage tank.
alert_type_co2_caption                  *X% Fatal
alert_type_meteorshower                 LLUVIA DE METEOROS
alert_type_hostileforces                CONTACTO HOSTIL
alert_type_hostileforces_caption        *X enemy ships
alert_type_crewoverworked               CONTRATAR MAS TRIPULACION
alert_type_heavydamage                  HEAVY DAMAGE
alert_type_heavydamage_caption          Damage *X%
alert_type_suffocating                  TRIPULACION SOFOCANDOSE
alert_type_suffocating_caption          *X suffocating
alert_type_dead                         MUERTES
alert_type_dead_caption                 *X dead
alert_type_lowresource_caption          *X
alert_type_lowfuel                      BAJO COMBUSTIBLE
alert_type_lowftl                       FTL CHARGES
alert_type_lowoxygen                    BAJO OXIJENO
alert_type_lowbattery                   BAJA BATERIA
alert_type_lowbattery_caption           *X%
alert_type_lowbattery_tooltip           Your batteries have been drained. It is likely your reactors are not creating enough power to meet the needs of your ship. You will need either more Reactors, or more battery storage, or both.
alert_type_powercut                     CORTE ELECTRICO
alert_type_powercut_nofuel              Fuel supply interrupted
alert_type_powercut_tooltip             Your reactor has cut out. It is likely the fuel supply has been interrupted.  Consider using storage tanks to create a permanent store of fuel for your Reactor to draw from.
alert_type_nostorage                    NO STORAGE

warning_unbreathable                    IRRESPIRABLE
warning_suitsrequired                   TRAJES ESPACIALES REQUERIDOS
warning_deliveryblocked                 ENTREGA BLOQUEADA
warning_storagerequired                 CREATE ZONAS DE ALMACENAJE

# =============================================================================
# Misc
# =============================================================================
 
 format_currency                        $*X 
 format_per_square                      *X / sq

# =============================================================================
# Ratings
# =============================================================================

ratings                                 RANGOS
rating_word                             rating
rating_rankincreased                    RANGO INCREMENTADO
rating_combat                           Combate
rating_industry                         Industria
rating_humanitarian                     Humanitaria
rating_logistics                        Logistica
rating_criminal                         Criminal
rating_title_combat                     Rango de Combate
rating_title_industry                   Rango Industrial
rating_title_humanitarian               Rango Humanitario
rating_title_logistics                  Rango Logistico
rating_title_criminal                   Rango Criminal
rating_rank                             RANGO *X

# =============================================================================
# Stargate
# =============================================================================

phase_title                             Phase *X

stargate_help                           To submit completed parts to the stargate project, sell them at any trade outpost in the sector

recipe_resources_required               Required resources
recipe_created_in                       Created in *X
recipe_duration                         Duration: *X seconds
recipe_quantity_required                *X x *Y

stargate_energy_required                REQUIRED: *X MW
stargate_energy_received                RECEIVED: *X MW

stargate_testfire_help                  Provide enough power to the stargate with energy transmitters to complete the testfire! Each transmitter beams up to 100MW to the stargate

smelt_title                             Smelt *X

stargate_award_title                    STARGATE PROGRESS
stargate_award_subtitle                 Phase *X Completed

# =============================================================================
# Industry Tutorial
# =============================================================================

opentextcrawlindustry_1                 It is the 23rd century.  Humanity has colonised the stars.
opentextcrawlindustry_2                 Millions of people now live off world, sometimes hundreds of light years from Earth.
opentextcrawlindustry_3                 The era of massive industrialisation of space has begun, feeding an insatiable desire for energy and metal.
opentextcrawlindustry_4                 Powerful businesses control vast swathes of space, backed by untold reserves of wealth.
opentextcrawlindustry_5                 The CEO of one such company - the INTERSTELLAR MINING CORPORATION - has challenged humanity to build a stargate so powerful it can reach our nearest Galaxy.
opentextcrawlindustry_6                 Trillions of dollars in funding have been set aside.
opentextcrawlindustry_7                 The time is perfect for a small entrepreneurial and industrious team of miners to start a new career - and make their fortune in the stars.

tutorial_introduction_title             TUTORIAL
tutorial_next                           NEXT
tutorial_introduction1                  Welcome to our new home.
tutorial_introduction2                  This space station hasn't been used in years.\n\nIt's a derelict, without power or a breathable atmosphere. Our first job is to fix that.\n\nClick NEXT to continue.

tutorial_camera_title                   CAMERA CONTROLS
tutorial_cameracontrols                 Use WASD or the ARROW KEYS to move the view around.\n\nZoom the view using the MOUSE WHEEL, or Q/E on the keyboard.\n\nDrag the view by holding the MIDDLE MOUSE BUTTON.

tutorial_power_title                     INSTALLING POWER
tutorial_power_titlecomplete            POWER INSTALLED
tutorial_powerinstallmenu              Let's begin by installing a REACTOR, to generate power for our ship.\n\nClick into the CONSTRUCTION menu, then click INSTALL.
tutorial_powerselectreactor            This is all the boxed equipment you have available on-board.\n\nSelect REACTOR from the list.
tutorial_powerplacereactor             Stamp the REACTOR down inside your ship in the South West module.
tutorial_powerreactorinprogress        Your crew will install the REACTOR.
tutorial_powerselectloader             The REACTOR needs FUEL, and we use a FUEL LOADER to pump it to the REACTOR.\n\nSelect the FUEL LOADER from the Construction menu.
tutorial_powerplaceloader              Stamp the FUEL LOADER down somewhere near the REACTOR.
tutorial_powerselectpipes              We need to connect the FUEL LOADER to the REACTOR, using a Pipe.\n\nSelect PIPES from the Construction Menu.
tutorial_powerpipeconnect              FUEL PIPES are used to connect the output from one piece of equipment into the input of another.\n\nFUEL PIPES are yellow and must connect the yellow circles on equipment.\n\nDrag a pipe from the FUEL LOADER to the REACTOR, connecting the yellow pipe circles.
tutorial_powerreactorpowerup           The REACTOR is starting up.
tutorial_powerreactoractive            The REACTOR is activated! We are now generating power for our station.

tutorial_air_title                     OXYGEN
tutorial_airinstallairduct             We now need to provide a breathable atmosphere for our crew. This is done with an AIRDUCT.\n\nInstall an AIRDUCT somewhere near the Reactor.
tutorial_aircables                     The AIRDUCT needs to be powered from the REACTOR.  Select CABLES from the CONSTRUCTION menu.
tutorial_aircabletoreactor             POWER CABLES are used to connect reactors to any equipment that needs power.\n\nPOWER CABLES are red and must connect red circles on equipment.\n\nDrag a power cable from the REACTOR to the AIRDUCT, connecting the red circles.
tutorial_airinstallairloader           The AIRDUCT needs OXYGEN, in the same way as the REACTOR needs FUEL. We can use an OXYGEN LOADER to provide OXYGEN.\n\nInstall an OXYGEN LOADER near the AIRDUCT.
tutorial_airpipes                      We need to connect the OXYGEN LOADER into the AIRDUCT using PIPES.\n\nSelect PIPES from the CONSTRUCTION menu.
tutorial_airpipetoairduct              Drag a PIPE from the OXYGEN LOADER to the AIRDUCT, connecting the BLUE circles.
tutorial_airdone                       The AIRDUCT is activated and is pressurising the cabin! The atmosphere will soon be breathable.

tutorial_stargatescreen_title           STARGATE PROJECT
tutorial_stargatescreen1                Lets turn our attention to the STARGATE PROJECT.\n\nWe can view our progress from the Stargate screen.\n\nOpen the STARGATE screen.
tutorial_stargatescreen2                This screen shows the phases that require construction in order to complete the STARGATE.\n\nWe are in PHASE 1. Work has only just begun.
tutorial_stargatescreen3                On the left of the screen you can see the requirements to complete PHASE 1.\n\nWe need to manufacture:\n- 100 STARGATE FRAMES\n- 10 STARGATE RESIN
tutorial_stargatescreen4                These PHASE 1 components are easy to manufacture, and we already have what we need onboard.\n\nBut we can sell them to the STARGATE PROJECT for a small fortune.
tutorial_stargatescreen5                Close the STARGATE screen by clicking on the toolbar again (or press ESC).

tutorial_fabrication_title              FABRICATION
tutorial_fabricationinstallfabricator       Components are manufactured in a FABRICATOR, using raw materials like METAL INGOTS.\n\nInstall a FABRICATOR somewhere in the South East quadrant of the station.
tutorial_fabricationinstallassemblytable    Those components are then assembled into finished products on an ASSEMBLY TABLE.\n\nInstall an ASSEMBLY TABLE somewhere near the FABRICATOR.
tutorial_fabricationpower               This new equipment needs power.  Build POWER CABLES to connect your REACTOR to the FABRICATOR and ASSEMBLY TABLE.
tutorial_fabricationconfigurefab1       We need to configure the new equipment to make the products that we want.\n\nRIGHT CLICK on the FABRICATOR to configure it.
tutorial_fabricationconfigurefab2       This drop-down menu shows all of the components that we can manufacture in a FABRICATOR.\n\nSelect FRAME from the list.
tutorial_fabricationconfigureass1       We need to configure the ASSEMBLY TABLE in the same way.\n\nRIGHT CLICK on the assembly table.
tutorial_fabricationconfigureass2       Select STARGATE FRAME from the drop-down menu.
tutorial_fabricationclosefab1           Close the Equipment Panel by clicking the X in the top right corner, or pressing ESC.
tutorial_fabricationclosefab2           Close the Equipment Panel by clicking the X in the top right corner, or pressing ESC.
tutorial_fabricationworking             Your crew are now fabricating FRAMES out of METAL INGOTS, then assembling those FRAMES into STARGATE FRAMES, which we can sell to the STARGATE project for profit.

tutorial_smelters_title                 SMELTERS
tutorial_smeltersintroduction           We are going to need a lot of METAL INGOTS if we're to make enough of those STARGATE FRAMES.\n\nWe don't have many METAL INGOTS on board, and will run out soon.
tutorial_smeltersbuild                  But we do have plenty of SCRAP METAL, and we can melt that down in a SMELTER.\n\nBuild a SMELTER somewhere near the production line.
tutorial_smelterspower                  Connect the smelters to the REACTOR using POWER CABLES
tutorial_smeltersscrapmetal             Right click on the SMELTER and set its material to be SCRAP METAL.
tutorial_smeltersoperational            The crew will now load in all the SCRAP METAL and smelt it into much more useful METAL INGOTS.
tutorial_smeltersdismantle              There is a ton of RUINED EQUIPMENT around this old station, that we can break down into SCRAP METAL.\n\nSelect DISMANTLE from the CONSTRUCTION toolbar.
tutorial_smelterssalvage                Click on the nearby RUINED EQUIPMENT to instruct your crew to dismantle it into SCRAP.
tutorial_smeltersstoragetoolbar         We can make things more efficient for our crew by telling them to store SCRAP METAL near to the SMELTER.\n\nSelect STORAGE from the CONSTRUCTION toolbar, then select SCRAP METAL from the list.
tutorial_smeltersstorageworld           Now drag out a storage zone near to the SMELTER.
tutorial_smeltersstoragedone            The crew will move all the SCRAP METAL into this zone.

tutorial_trade_title                    TRADE
tutorial_tradewaitforsellable           Your crew will now use the equipment to produce some STARGATE FRAMES.
tutorial_tradeintroduction              Now that we've produced some STARGATE FRAMES, it's time to get paid for our efforts.  The STARGATE PROJECT will buy any components we've produced, and are paying quite a premium.\n\nOpen the TRADE screen to sell the STARGATE FRAMES.
tutorial_tradesell                      Select SELL from the list of trade categories.
tutorial_tradesellframes                Find the STARGATE FRAMES you've produced, and click to add them to a sale.\n\nThey should be at the top of the SELL screen, highlighted in gold.\n\nBe sure to add ALL the STARGATE FRAMES to the sale.
tutorial_tradecommit                    Click on CONFIRM to commit the trade and sell the STARGATE FRAMES.
tutorial_tradeinbound                   A shuttle will now dock with the station and the crew will transfer the traded items.
tutorial_tradeothersupplies             We can also use the TRADE system to buy raw materials to produce more STARGATE FRAMES, as well as resources we will need to survive.\n\nReopen the TRADE screen.
tutorial_tradebuyminerals               METALLIC MINERALS can be smelted into METAL INGOTS just like SCRAP METAL.\n\nAdd all the METALLIC MINERALS to the trade.
tutorial_tradebuysmelter                We will also need another SMELTER to begin processing those METALLIC MINERALS.\n\nFind the SMELTER under the INDUSTRY tab and add one to the order.
tutorial_tradebuymore                   This is a good opportunity to stock up on some other resources that are critical for life support.\n\nWe'd recommend you purchase:\n\n - 2x FUEL\n - 2x OXYGEN\n - 2x WATER\n - 2x FOOD\n\n- HIRE 5 MORE CREW\n\nCONFIRM the order when you are done.
tutorial_tradeinstallsmelter            Once those goods have arrived, you should install your second SMELTER somewhere near the first.
tutorial_tradesmeltmetallicminerals     Set the SMELTER to process those METALLIC MINERALS you bought into more METAL INGOTS.
        
tutorial_fleet_title                    YOUR FLEET
tutorial_fleetinspect                   For the next phase, we will need a ship that is more mobile than our current space station.\n\nThere happens to be another ship for sale that looks perfect.\n\nSelect the ship INDUSTRIOUS in the SHIP LIST.
tutorial_fleettooexpensive              We can't afford to buy it yet, but it has everything we need for a runabout ship to complement our station.\n\nRe-select the station in the ship list.
tutorial_fleetearnenough                Continue to manufacture and sell STARGATE FRAMES until you have $300,000 cash on hand. Then we will be able to afford to buy the second ship.
tutorial_fleetinspect2                  You've raised enough money to buy the second ship!\n\nSelect the INDUSTRIOUS in the ship list.
tutorial_fleetbuy                       Click on the BUY button to purchase the INDUSTRIOUS.
tutorial_fleettrade                     The ship is fitted with engines and an FTL drive for Interstellar Travel! But it does need a crew.\n\nOpen the TRADE SCREEN.
tutorial_fleetcrew                      We will need a crew. Hire five CREW MEMBERS from the TRADE screen.
tutorial_fleetspacesuits                Those crew will also need SPACESUITS as there is no atmosphere onboard our ship yet.\n\nOrder five SPACESUITS for the new crew.
tutorial_fleettradeconfirm              CONFIRM the trade.
tutorial_fleetcrewarrival               Your new crew will arrive by shuttle.
tutorial_fleetresources                 We also need resources for the ship to function.\n\nUse the TRADE screen to buy:\n- 5x FUEL\n- 5x OXYGEN\n- 5x FTL CHARGE\n- 2x FOOD\n- 2x WATER.\n\nCONFIRM the trade when you are done.
tutorial_fleetwaitforpowerup            Your crew will now power up the ship and bring the engines and life support online.

tutorial_flight_title                   FLIGHT
tutorial_flighttactical                 Unlike our station, we can move this ship around and even travel to different star systems with our FTL drive.\n\nTo maneuver our ship, switch into TACTICAL mode by clicking the highlighted button, or pressing T.
tutorial_flightengines                  We can directly control our engine THROTTLE from here.\n\nTry setting the engine THROTTLE to full power.
tutorial_flightturning                  We can also turn the ship by left clicking in TACTICAL mode, in the direction we wish to travel.
tutorial_flightexittactical             Exit TACTICAL mode by clicking the button again, or pressing T.
tutorial_flightinformation              Your crew will continue to operate the ship and keep the engines running as you travel around. Try flying around the system until you have a handle on the controls.\n\nWhen you are ready, bring the ship to a stop by setting the THROTTLE to zero in TACTICAL mode.
tutorial_flightsetcourse                Switch to TACTICAL VIEW, then zoom out and find the JMC MINING STATION.\n\nRemember you can zoom using the MOUSE WHEEL, and you can drag the view with WASD or by holding the MIDDLE MOUSE BUTTON.\n\nMove our ship close by RIGHT CLICKING near the JMC MINING STATION to set an autopilot.\n\n

tutorial_finance_title                  CONTRACTS
tutorial_financemissionscreen           Selling Stargate components isn't the only way to make money.  We can also complete contracts for increased reputation and financial rewards.\n\nOpen the CONTRACTS screen to see a list of available contracts.
tutorial_financeselectship              Contracts are assigned to the ship you currently have selected.\n\nOnly the INDUSTRIOUS can travel between locations, so select the INDUSTRIOUS.
tutorial_financeselecttransport         Here we have a TRANSPORT PASSENGER contract, click it to see more details.
tutorial_financeassigntransport         This mission requires us to transport a group of people from here to another location in the sector.\n\nClick the accept button to assign this contract to the INDUSTRIOUS.
tutorial_financepassengersinbound       The passengers will be delivered to the INDUSTRIOUS by shuttle.
tutorial_financesectormap               All passengers have been delivered to the INDUSTRIOUS. We must now plot an FTL jump to their destination.\n\nOpen the SECTOR MAP.
tutorial_financesetdestination          This is a map of all the systems in this sector.\n\nOur ship and our space station are located in the middle, where the map is marked FLEET.\n\nSet a course to the destination (labelled TRANSPORT PASSENGERS) by clicking on it.
tutorial_financeclosesectormap          Close the SECTOR MAP by clicking the X in the top right corner, or by pressing ESC.
tutorial_financeftlwindow               Open the FTL screen to order the FTL jump.
tutorial_financepreparejump             Click on PREPARE JUMP to align the ship and prepare for hyperspace.
tutorial_financepreparingjump           The INDUSTRIOUS will align the ship for hyperspace, and prepare the FTL drive to make the jump.
tutorial_financejump                    Click the JUMP button to jump to hyperspace.
tutorial_financehyperspace              We are in hyperspace!
tutorial_financearrived                 We have arrived at the destination system.
tutorial_financeselectmission           We now need to turn in our completed passenger contract.\n\nOpen the CONTRACTS screen and select the passenger mission.
tutorial_financeturnin                  Click the DELIVER button to drop off the passengers and receive payment
tutorial_financeturningin               A shuttle will be dispatched to collect the passengers.
tutorial_financemissioncomplete         The passengers have all arrived safely. You will now be paid the fee and will also receive points toward your Humanitarian rating - giving you access to more difficult and lucrative missions.

tutorial_tutorialend                    [End of tutorial - Alpha 7]
tutorial_tutorialskip                   Are you sure you wish to skip the tutorial?
tutorial_tutorialskipyes                SKIP TUTORIAL
tutorial_tutorialskipno                 RESUME TUTORIAL

tutorial_resin_title                    GAS COLLECTORS
tutorial_resinintro                     Turning our attention back to the Stargate, the Stargate project also requires us to produce STARGATE RESIN.\n\nWe are going to use the INDUSTRIOUS to collect METREON GAS, refine it, and process it into STARGATE RESIN.
tutorial_resinintro2                    Raise enough money to purchase for INDUSTRIOUS:\n\n- 1x GAS COLLECTOR\n- 1x REFINERY\n- 1x CHEMICAL LAB
tutorial_resinselectnebula              Before we can start collecting the METREON GAS, we need to move the INDUSTRIOUS to a system containing a GAS CLOUD.\n\nUse the SECTOR MAP to select a suitable destination.
tutorial_resinjumptonebula              Close the sector map and use the FTL Window to jump the INDUSTRIOUS to the nebula.
tutorial_resininstallgascollector       Install the GAS COLLECTOR, REFINERY and CHEMICAL LAB so that they are close to each other.
tutorial_resinpowerup                   Power up the GAS COLLECTOR, REFINERY and CHEMICAL LAB.
tutorial_resinrefineryrecipe            Right click on the REFINERY and set its recipe to REFINE METREON GAS.
tutorial_resinchemicallabrecipe         Right click on the CHEMICAL LAB and set its recipe to MAKE STARGATE RESIN.
tutorial_resinconnectgascollector       Connect the GAS COLLECTOR to the REFINERY with a PIPE.
tutorial_resinconnectchemicallab        Connect the REFINERY to the CHEMICAL LAB with a PIPE.
tutorial_resinsuccess                   Well done, you have started to produce STARGATE RESIN.\n\nWhen you have produced enough, travel back to any COLONY, SHIP YARD or the STARGATE system to sell it to the STARGATE PROJECT.

tutorial_end_title                      END OF TUTORIAL

