
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              New
recipe_duration                         Duration: *X seconds
recipe_quantity_required                *X x *Y

stargate_energy_required                REQUIRED: *X MW
stargate_energy_received                RECEIVED: *X MW

stargate_testfire_help                  Provide enough power to the stargate with energy transmitters to complete the testfire! Each transmitter beams up to 100MW to the stargate

smelt_title                             Smelt *X

stargate_award_title                    STARGATE PROGRESS
stargate_award_subtitle                 Phase *X Completed

# =============================================================================
# Industry Tutorial
# =============================================================================

opentextcrawlindustry_1                 It is the 23rd century.  Humanity has colonised the stars.
opentextcrawlindustry_2                 Millions of people now live off world, sometimes hundreds of light years from Earth.
opentextcrawlindustry_3                 The era of massive industrialisation of space has begun, feeding an insatiable desire for energy and metal.
opentextcrawlindustry_4                 Powerful businesses control vast swathes of space, backed by untold reserves of wealth.
opentextcrawlindustry_5                 The CEO of one such company - the INTERSTELLAR MINING CORPORATION - has challenged humanity to build a stargate so powerful it can reach our nearest Galaxy.
opentextcrawlindustry_6                 Trillions of dollars in funding have been set aside.
opentextcrawlindustry_7                 The time is perfect for a small entrepreneurial and industrious team of miners to start a new career - and make their fortune in the stars.

tutorial_introduction_title             TUTORIAL
tutorial_next                           NEXT
tutorial_introduction1                  Welcome to our new home.
tutorial_introduction2                  This space station hasn't been used in years.\n\nIt's a derelict, without power or a breathable atmosphere. Our first job is to fix that.\n\nClick NEXT to continue.

tutorial_camera_title                   CAMERA CONTROLS
tutorial_cameracontrols                 Use WASD or the ARROW KEYS to move the view around.\n\nZoom the view using the MOUSE WHEEL, or Q/E on the keyboard.\n\nDrag the view by holding the MIDDLE MOUSE BUTTON.

tutorial_power_title                     INSTALLING POWER
tutorial_power_titlecomplete            POWER INSTALLED
tutorial_powerinstallmenu              Let's begin by installing a REACTOR, to generate power for our ship.\n\nClick into the CONSTRUCTION menu, then click INSTALL.
tutorial_powerselectreactor            This is all the boxed equipment you have available on-board.\n\nSelect REACTOR from the list.
tutorial_powerplacereactor             Stamp the REACTOR down inside your ship in the South West module.
tutorial_powerreactorinprogress        Your crew will install the REACTOR.
tutorial_powerselectloader             The REACTOR needs FUEL, and we use a FUEL LOADER to pump it to the REACTOR.\n\nSelect the FUEL LOADER from the Construction menu.
tutorial_powerplaceloader              Stamp the FUEL LOADER down somewhere near the REACTOR.
tutorial_powerselectpipes              We need to connect the FUEL LOADER to the REACTOR, using a Pipe.\n\nSelect PIPES from the Construction Menu.
tutorial_powerpipeconnect              FUEL PIPES are used to connect the output from one piece of equipment into the input of another.\n\nFUEL PIPES are yellow and must connect the yellow circles on equipment.\n\nDrag a pipe from the FUEL LOADER to the REACTOR, connecting the yellow pipe circles.
tutorial_powerreactorpowerup           The REACTOR is starting up.
tutorial_powerreactoractive            The REACTOR is activated! We are now generating power for our station.

tutorial_air_title                     OXYGEN
tutorial_airinstallairduct             We now need to provide a breathable atmosphere for our crew. This is done with an AIRDUCT.\n\nInstall an AIRDUCT somewhere near the Reactor.
tutorial_aircables                     The AIRDUCT needs to be powered from the REACTOR.  Select CABLES from the CONSTRUCTION menu.
tutorial_aircabletoreactor             POWER CABLES are used to connect reactors to any equipment that needs power.\n\nPOWER CABLES are red and must connect red circles on equipment.\n\nDrag a power cable from the REACTOR to the AIRDUCT, connecting the red circles.
tutorial_airinstallairloader           The AIRDUCT needs OXYGEN, in the same way as the REACTOR needs FUEL. We can use an OXYGEN LOADER to provide OXYGEN.\n\nInstall an OXYGEN LOADER near the AIRDUCT.
tutorial_airpipes                      We need to connect the OXYGEN LOADER into the AIRDUCT using PIPES.\n\nSelect PIPES from the CONSTRUCTION menu.
tutorial_airpipetoairduct              Drag a PIPE from the OXYGEN LOADER to the AIRDUCT, connecting the BLUE circles.
tutorial_airdone                       The AIRDUCT is activated and is pressurising the cabin! The atmosphere will soon be breathable.

tutorial_stargatescreen_title           STARGATE PROJECT
tutorial_stargatescreen1                Lets turn our attention to the STARGATE PROJECT.\n\nWe can view our progress from the Stargate screen.\n\nOpen the STARGATE screen.
tutorial_stargatescreen2                This screen shows the phases that require construction in order to complete the STARGATE.\n\nWe are in PHASE 1. Work has only just begun.
tutorial_stargatescreen3                On the left of the screen you can see the requirements to complete PHASE 1.\n\nWe need to manufacture:\n- 100 STARGATE FRAMES\n- 10 STARGATE RESIN
tutorial_stargatescreen4                These PHASE 1 components are easy to manufacture, and we already have what we need onboard.\n\nBut we can sell them to the STARGATE PROJECT for a small fortune.
tutorial_stargatescreen5                Close the STARGATE screen by clicking on the toolbar again (or press ESC).

tutorial_fabrication_title              FABRICATION
tutorial_fabricationinstallfabricator       Components are manufactured in a FABRICATOR, using raw materials like METAL INGOTS.\n\nInstall a FABRICATOR somewhere in the South East quadrant of the station.
tutorial_fabricationinstallassemblytable    Those components are then assembled into finished products on an ASSEMBLY TABLE.\n\nInstall an ASSEMBLY TABLE somewhere near the FABRICATOR.
tutorial_fabricationpower               This new equipment needs power.  Build POWER CABLES to connect your REACTOR to the FABRICATOR and ASSEMBLY TABLE.
tutorial_fabricationconfigurefab1       We need to configure the new equipment to make the products that we want.\n\nRIGHT CLICK on the FABRICATOR to configure it.
tutorial_fabricationconfigurefab2       This drop-down menu shows all of the components that we can manufacture in a FABRICATOR.\n\nSelect FRAME from the list.
tutorial_fabricationconfigureass1       We need to configure the ASSEMBLY TABLE in the same way.\n\nRIGHT CLICK on the assembly table.
tutorial_fabricationconfigureass2       Select STARGATE FRAME from the drop-down menu.
tutorial_fabricationclosefab1           Close the Equipment Panel by clicking the X in the top right corner, or pressing ESC.
tutorial_fabricationclosefab2           Close the Equipment Panel by clicking the X in the top right corner, or pressing ESC.
tutorial_fabricationworking             Your crew are now fabricating FRAMES out of METAL INGOTS, then assembling those FRAMES into STARGATE FRAMES, which we can sell to the STARGATE project for profit.

tutorial_smelters_title                 SMELTERS
tutorial_smeltersintroduction           We are going to need a lot of METAL INGOTS if we're to make enough of those STARGATE FRAMES.\n\nWe don't have many METAL INGOTS on board, and will run out soon.
tutorial_smeltersbuild                  But we do have plenty of SCRAP METAL, and we can melt that down in a SMELTER.\n\nBuild a SMELTER somewhere near the production line.
tutorial_smelterspower                  Connect the smelters to the REACTOR using POWER CABLES
tutorial_smeltersscrapmetal             Right click on the SMELTER and set its material to be SCRAP METAL.
tutorial_smeltersoperational            The crew will now load in all the SCRAP METAL and smelt it into much more useful METAL INGOTS.
tutorial_smeltersdismantle              There is a ton of RUINED EQUIPMENT around this old station, that we can break down into SCRAP METAL.\n\nSelect DISMANTLE from the CONSTRUCTION toolbar.
tutorial_smelterssalvage                Click on the nearby RUINED EQUIPMENT to instruct your crew to dismantle it into SCRAP.
tutorial_smeltersstoragetoolbar         We can make things more efficient for our crew by telling them to store SCRAP METAL near to the SMELTER.\n\nSelect STORAGE from the CONSTRUCTION toolbar, then select SCRAP METAL from the list.
tutorial_smeltersstorageworld           Now drag out a storage zone near to the SMELTER.
tutorial_smeltersstoragedone            The crew will move all the SCRAP METAL into this zone.

tutorial_trade_title                    TRADE
tutorial_tradewaitforsellable           Your crew will now use the equipment to produce some STARGATE FRAMES.
tutorial_tradeintroduction              Now that we've produced some STARGATE FRAMES, it's time to get paid for our efforts.  The STARGATE PROJECT will buy any components we've produced, and are paying quite a premium.\n\nOpen the TRADE screen to sell the STARGATE FRAMES.
tutorial_tradesell                      Select SELL from the list of trade categories.
tutorial_tradesellframes                Find the STARGATE FRAMES you've produced, and click to add them to a sale.\n\nThey should be at the top of the SELL screen, highlighted in gold.
tutorial_tradecommit                    Click on CONFIRM to commit the trade and sell the STARGATE FRAMES.
tutorial_tradeinbound                   A shuttle will now dock with the station and the crew will transfer the traded items.
tutorial_tradeothersupplies             We can also use the TRADE system to buy raw materials to produce more STARGATE FRAMES, as well as resources we will need to survive.\n\nReopen the TRADE screen.
tutorial_tradebuyminerals               METALLIC MINERALS can be smelted into METAL INGOTS just like SCRAP METAL.\n\nAdd all the METALLIC MINERALS to the trade.
tutorial_tradebuysmelter                We will also need another SMELTER to begin processing those METALLIC MINERALS.\n\nFind the SMELTER under the INDUSTRY tab and add one to the order.
tutorial_tradebuymore                   This is a good opportunity to stock up on some other resources that are critical for life support.\n\nWe'd recommend you purchase:\n\n - 2x FUEL\n - 2x OXYGEN\n - 2x WATER\n - 2x FOOD\n\n- HIRE 5 MORE CREW\n\nCONFIRM the order when you are done.
tutorial_tradeinstallsmelter            Once those goods have arrived, you should install your second SMELTER somewhere near the first.
tutorial_tradesmeltmetallicminerals     Set the SMELTER to process those METALLIC MINERALS you bought into more METAL INGOTS.
        
tutorial_fleet_title                    YOUR FLEET
tutorial_fleetinspect                   For the next phase, we will need a ship that is more mobile than our current space station.\n\nThere happens to be another ship for sale that looks perfect.\n\nSelect the ship INDUSTRIOUS in the SHIP LIST.
tutorial_fleettooexpensive              We can't afford to buy it yet, but it has everything we need for a runabout ship to complement our station.\n\nRe-select the station in the ship list.
tutorial_fleetearnenough                Continue to manufacture and sell STARGATE FRAMES until you have $300,000 cash on hand. Then we will be able to afford to buy the second ship.
tutorial_fleetinspect2                  You've raised enough money to buy the second ship!\n\nSelect the INDUSTRIOUS in the ship list.
tutorial_fleetbuy                       Click on the BUY button to purchase the INDUSTRIOUS.
tutorial_fleettrade                     The ship is fitted with engines and an FTL drive for Interstellar Travel! But it does need a crew.\n\nOpen the TRADE SCREEN.
tutorial_fleetcrew                      We will need a crew. Hire five CREW MEMBERS from the TRADE screen.
tutorial_fleetspacesuits                Those crew will also need SPACESUITS as there is no atmosphere onboard our ship yet.\n\nOrder five SPACESUITS for the new crew.
tutorial_fleettradeconfirm              CONFIRM the trade.
tutorial_fleetcrewarrival               Your new crew will arrive by shuttle.
tutorial_fleetresources                 We also need resources for the ship to function.\n\nUse the TRADE screen to buy:\n- 5x FUEL\n- 5x OXYGEN\n- 5x FTL CHARGE\n- 2x FOOD\n- 2x WATER.\n\nCONFIRM the trade when you are done.
tutorial_fleetwaitforpowerup            Your crew will now power up the ship and bring the engines and life support online.

tutorial_flight_title                   FLIGHT
tutorial_flighttactical                 Unlike our station, we can move this ship around and even travel to different star systems with our FTL drive.\n\nTo maneuver our ship, switch into TACTICAL mode by clicking the highlighted button, or pressing T.
tutorial_flightengines                  We can directly control our engine THROTTLE from here.\n\nTry setting the engine THROTTLE to full power.
tutorial_flightturning                  We can also turn the ship by left clicking in TACTICAL mode, in the direction we wish to travel.
tutorial_flightexittactical             Exit TACTICAL mode by clicking the button again, or pressing T.
tutorial_flightinformation              Your crew will continue to operate the ship and keep the engines running as you travel around. Try flying around the system until you have a handle on the controls.\n\nWhen you are ready, bring the ship to a stop by setting the THROTTLE to zero in TACTICAL mode.
tutorial_flightsetcourse                Switch to TACTICAL VIEW, then zoom out and find the JMC MINING STATION.\n\nRemember you can zoom using the MOUSE WHEEL, and you can drag the view with WASD or by holding the MIDDLE MOUSE BUTTON.\n\nMove our ship close by RIGHT CLICKING near the JMC MINING STATION to set an autopilot.\n\n

tutorial_tutorialend                    [End of tutorial - Alpha 7]
tutorial_tutorialskip                   Are you sure you wish to skip the tutorial?
tutorial_tutorialskipyes                SKIP TUTORIAL
tutorial_tutorialskipno                 RESUME TUTORIAL

tutorial_end_title                      END OF TUTORIAL

